                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6966,                 4.4579,                 3.9808,                0.00433,                0.11586,                0.00384,                0.00108,                    nan,                    nan,                    nan,             0.00047457,             0.00047457,             0.00047457
                      2,                  2.968,                 3.7202,                 3.1759,                0.14142,                0.14472,                0.08005,                0.03033,                    nan,                    nan,                    nan,             0.00094672,             0.00094672,             0.00094672
                      3,                 2.6372,                 3.2348,                 2.8273,                0.32462,                0.20069,                0.15304,                0.05832,                    nan,                    nan,                    nan,              0.0014147,              0.0014147,              0.0014147
                      4,                 2.4241,                 2.9308,                 2.6142,                0.30408,                0.24329,                 0.1912,                0.08033,                    nan,                    nan,                    nan,              0.0014101,              0.0014101,              0.0014101
                      5,                  2.258,                 2.6485,                 2.4187,                0.35984,                0.24016,                0.21369,                0.09416,                    nan,                    nan,                    nan,              0.0014038,              0.0014038,              0.0014038
                      6,                 2.1521,                 2.4707,                 2.3218,                0.43318,                0.37076,                0.35724,                0.16266,                    nan,                    nan,                    nan,              0.0013976,              0.0013976,              0.0013976
                      7,                 2.0735,                 2.3224,                 2.2312,                0.48414,                0.40226,                0.39574,                0.18911,                    nan,                    nan,                    nan,              0.0013913,              0.0013913,              0.0013913
                      8,                 1.9706,                 2.1871,                 2.1159,                0.48353,                0.35888,                0.35923,                 0.1722,                    nan,                    nan,                    nan,               0.001385,               0.001385,               0.001385
                      9,                 1.8849,                 2.0836,                  2.061,                0.58468,                0.45095,                0.45972,                0.23664,                    nan,                    nan,                    nan,              0.0013787,              0.0013787,              0.0013787
                     10,                 1.8621,                 2.0428,                 2.0146,                0.64917,                0.46627,                 0.5108,                0.26235,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.7649,                 1.9314,                 1.9393,                0.67881,                0.48819,                0.54773,                0.29058,                    nan,                    nan,                    nan,              0.0013661,              0.0013661,              0.0013661
                     12,                 1.7663,                 1.8911,                 1.9179,                0.67288,                 0.5031,                0.55555,                0.29717,                    nan,                    nan,                    nan,              0.0013598,              0.0013598,              0.0013598
                     13,                 1.7137,                 1.8045,                 1.8695,                0.62917,                0.51296,                0.56319,                0.31903,                    nan,                    nan,                    nan,              0.0013535,              0.0013535,              0.0013535
                     14,                  1.686,                  1.771,                 1.8144,                0.71447,                0.55665,                0.62279,                0.35677,                    nan,                    nan,                    nan,              0.0013473,              0.0013473,              0.0013473
                     15,                 1.6634,                 1.7136,                 1.7975,                 0.7107,                0.54814,                0.61244,                0.33796,                    nan,                    nan,                    nan,               0.001341,               0.001341,               0.001341
                     16,                 1.6395,                 1.6871,                 1.7773,                 0.6727,                0.57994,                0.62358,                 0.3581,                    nan,                    nan,                    nan,              0.0013347,              0.0013347,              0.0013347
                     17,                 1.6027,                 1.6603,                 1.7402,                 0.7256,                0.55835,                0.61937,                 0.3405,                    nan,                    nan,                    nan,              0.0013284,              0.0013284,              0.0013284
                     18,                 1.5902,                 1.6179,                 1.7224,                0.77268,                0.61383,                0.68151,                0.41232,                    nan,                    nan,                    nan,              0.0013221,              0.0013221,              0.0013221
                     19,                 1.5408,                 1.5638,                 1.6724,                0.72375,                0.61728,                0.66363,                0.39761,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     20,                  1.543,                 1.5736,                 1.6778,                0.74234,                0.61944,                0.66882,                0.39941,                    nan,                    nan,                    nan,              0.0013095,              0.0013095,              0.0013095
                     21,                 1.5236,                 1.5211,                 1.6521,                0.76636,                0.64115,                0.68374,                0.42475,                    nan,                    nan,                    nan,              0.0013032,              0.0013032,              0.0013032
                     22,                 1.5136,                 1.5123,                 1.6618,                0.75487,                0.64784,                0.69721,                0.42469,                    nan,                    nan,                    nan,               0.001297,               0.001297,               0.001297
                     23,                  1.484,                 1.4707,                 1.6321,                0.71904,                0.63799,                0.68513,                0.42975,                    nan,                    nan,                    nan,              0.0012907,              0.0012907,              0.0012907
                     24,                 1.4976,                 1.4455,                 1.6283,                0.73774,                0.63318,                0.68205,                0.41665,                    nan,                    nan,                    nan,              0.0012844,              0.0012844,              0.0012844
                     25,                 1.4627,                 1.4483,                 1.6011,                0.73928,                0.66527,                0.69751,                0.44112,                    nan,                    nan,                    nan,              0.0012781,              0.0012781,              0.0012781
                     26,                   1.46,                 1.4241,                 1.6082,                0.73154,                0.65424,                0.68508,                 0.4352,                    nan,                    nan,                    nan,              0.0012718,              0.0012718,              0.0012718
                     27,                 1.4279,                 1.3954,                 1.5723,                0.77448,                0.67751,                0.71818,                0.46168,                    nan,                    nan,                    nan,              0.0012655,              0.0012655,              0.0012655
                     28,                 1.4412,                 1.4106,                 1.5794,                 0.7575,                 0.6708,                0.69183,                0.43281,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     29,                 1.4209,                 1.3778,                 1.5574,                0.77354,                 0.6796,                0.70868,                0.44606,                    nan,                    nan,                    nan,              0.0012529,              0.0012529,              0.0012529
                     30,                 1.4024,                 1.3613,                 1.5515,                0.76935,                0.65714,                0.70686,                0.44627,                    nan,                    nan,                    nan,              0.0012467,              0.0012467,              0.0012467
                     31,                 1.4096,                 1.3245,                 1.5309,                0.74484,                0.67272,                0.70046,                0.44382,                    nan,                    nan,                    nan,              0.0012404,              0.0012404,              0.0012404
                     32,                 1.3739,                 1.3118,                 1.5298,                0.78329,                0.66563,                0.71882,                0.46114,                    nan,                    nan,                    nan,              0.0012341,              0.0012341,              0.0012341
                     33,                 1.3583,                 1.2968,                 1.5183,                0.78474,                0.66162,                0.71877,                0.45663,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     34,                 1.3794,                 1.2968,                 1.5318,                0.75164,                0.67717,                 0.6986,                0.44266,                    nan,                    nan,                    nan,              0.0012215,              0.0012215,              0.0012215
                     35,                 1.3675,                 1.2837,                 1.5037,                0.77698,                  0.703,                0.74212,                0.48798,                    nan,                    nan,                    nan,              0.0012152,              0.0012152,              0.0012152
                     36,                 1.3472,                 1.2586,                 1.4984,                0.78655,                0.69596,                0.73317,                0.48248,                    nan,                    nan,                    nan,              0.0012089,              0.0012089,              0.0012089
                     37,                 1.3348,                 1.2354,                 1.4845,                0.76931,                0.70168,                0.72486,                0.47977,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     38,                  1.338,                 1.2501,                  1.492,                0.77125,                0.70206,                0.74128,                0.48949,                    nan,                    nan,                    nan,              0.0011964,              0.0011964,              0.0011964
                     39,                 1.3202,                 1.2339,                 1.4904,                0.77694,                0.68918,                0.73578,                0.47902,                    nan,                    nan,                    nan,              0.0011901,              0.0011901,              0.0011901
                     40,                 1.3337,                 1.2238,                 1.4855,                0.77389,                 0.7003,                0.72572,                0.47327,                    nan,                    nan,                    nan,              0.0011838,              0.0011838,              0.0011838
                     41,                 1.3147,                 1.2122,                  1.469,                0.79944,                0.71362,                0.74235,                0.50075,                    nan,                    nan,                    nan,              0.0011775,              0.0011775,              0.0011775
                     42,                 1.3163,                  1.174,                 1.4682,                 0.8035,                0.70383,                0.73537,                0.48536,                    nan,                    nan,                    nan,              0.0011712,              0.0011712,              0.0011712
                     43,                 1.3185,                 1.1948,                 1.4803,                0.80069,                0.71556,                 0.7408,                0.50431,                    nan,                    nan,                    nan,              0.0011649,              0.0011649,              0.0011649
                     44,                 1.3047,                 1.1708,                 1.4472,                0.80307,                0.72945,                0.76708,                 0.5099,                    nan,                    nan,                    nan,              0.0011586,              0.0011586,              0.0011586
                     45,                 1.2818,                 1.1509,                 1.4488,                0.79315,                   0.73,                0.76103,                0.50545,                    nan,                    nan,                    nan,              0.0011523,              0.0011523,              0.0011523
                     46,                 1.2871,                 1.1687,                 1.4492,                0.80304,                0.72417,                0.74374,                0.49984,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     47,                 1.2736,                 1.1606,                 1.4399,                0.78551,                0.71943,                 0.7683,                0.50422,                    nan,                    nan,                    nan,              0.0011398,              0.0011398,              0.0011398
                     48,                 1.2768,                 1.1336,                 1.4327,                0.77175,                0.71984,                0.75169,                0.51211,                    nan,                    nan,                    nan,              0.0011335,              0.0011335,              0.0011335
                     49,                 1.2643,                 1.1445,                 1.4283,                0.79811,                0.71258,                0.76103,                0.50935,                    nan,                    nan,                    nan,              0.0011272,              0.0011272,              0.0011272
                     50,                 1.2708,                 1.1543,                 1.4416,                0.80155,                0.72614,                0.75687,                0.51497,                    nan,                    nan,                    nan,              0.0011209,              0.0011209,              0.0011209
                     51,                 1.2463,                 1.1147,                 1.4112,                  0.821,                0.73266,                0.76203,                0.52015,                    nan,                    nan,                    nan,              0.0011146,              0.0011146,              0.0011146
                     52,                 1.2531,                  1.124,                 1.4137,                0.80668,                0.73728,                0.75627,                0.52606,                    nan,                    nan,                    nan,              0.0011083,              0.0011083,              0.0011083
                     53,                 1.2419,                 1.1108,                 1.4058,                0.79659,                0.73767,                0.76105,                0.51423,                    nan,                    nan,                    nan,               0.001102,               0.001102,               0.001102
                     54,                 1.2577,                 1.1299,                 1.4275,                0.80478,                0.72937,                 0.7652,                0.51639,                    nan,                    nan,                    nan,              0.0010958,              0.0010958,              0.0010958
                     55,                 1.2574,                 1.1115,                 1.4223,                0.79936,                0.73034,                0.76861,                0.52117,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     56,                 1.2387,                 1.1261,                 1.4181,                0.80084,                0.72143,                0.75914,                0.51297,                    nan,                    nan,                    nan,              0.0010832,              0.0010832,              0.0010832
                     57,                 1.2265,                 1.0857,                 1.4014,                0.81466,                0.73361,                0.77795,                0.54046,                    nan,                    nan,                    nan,              0.0010769,              0.0010769,              0.0010769
                     58,                 1.2198,                 1.0928,                 1.3943,                0.80669,                0.74435,                 0.7729,                0.53557,                    nan,                    nan,                    nan,              0.0010706,              0.0010706,              0.0010706
                     59,                 1.2211,                 1.0986,                 1.4023,                0.81307,                0.73936,                0.75978,                0.53164,                    nan,                    nan,                    nan,              0.0010643,              0.0010643,              0.0010643
                     60,                 1.2305,                  1.084,                 1.3917,                0.79905,                0.75425,                 0.7607,                0.53225,                    nan,                    nan,                    nan,               0.001058,               0.001058,               0.001058
                     61,                 1.2071,                 1.0632,                 1.3799,                 0.8107,                0.74752,                0.78167,                0.53232,                    nan,                    nan,                    nan,              0.0010517,              0.0010517,              0.0010517
                     62,                 1.2039,                 1.0539,                 1.3767,                0.81552,                0.74726,                0.78066,                0.54353,                    nan,                    nan,                    nan,              0.0010455,              0.0010455,              0.0010455
                     63,                 1.2262,                 1.0584,                 1.3879,                0.82241,                0.72492,                0.78105,                0.53933,                    nan,                    nan,                    nan,              0.0010392,              0.0010392,              0.0010392
                     64,                 1.1973,                 1.0481,                 1.3748,                0.81321,                0.74629,                0.77742,                 0.5461,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     65,                 1.1914,                 1.0442,                 1.3727,                0.82025,                0.74564,                0.78759,                0.54732,                    nan,                    nan,                    nan,              0.0010266,              0.0010266,              0.0010266
                     66,                    1.2,                 1.0474,                  1.364,                0.82836,                0.74174,                0.77769,                0.55274,                    nan,                    nan,                    nan,              0.0010203,              0.0010203,              0.0010203
                     67,                 1.1842,                 1.0362,                   1.37,                0.80759,                0.75265,                0.78065,                0.54911,                    nan,                    nan,                    nan,               0.001014,               0.001014,               0.001014
                     68,                 1.1947,                 1.0213,                 1.3657,                0.82744,                0.73796,                0.78103,                0.54762,                    nan,                    nan,                    nan,              0.0010077,              0.0010077,              0.0010077
                     69,                 1.1797,                 1.0322,                 1.3556,                0.82049,                 0.7294,                0.77662,                0.54247,                    nan,                    nan,                    nan,              0.0010014,              0.0010014,              0.0010014
                     70,                  1.181,                 1.0185,                 1.3577,                0.80968,                0.75545,                0.77463,                0.55529,                    nan,                    nan,                    nan,             0.00099516,             0.00099516,             0.00099516
                     71,                 1.1718,                 1.0242,                 1.3547,                0.80034,                0.74301,                0.77079,                0.54061,                    nan,                    nan,                    nan,             0.00098887,             0.00098887,             0.00098887
                     72,                 1.1813,                 1.0252,                 1.3513,                0.82187,                 0.7455,                0.79762,                0.55817,                    nan,                    nan,                    nan,             0.00098258,             0.00098258,             0.00098258
                     73,                 1.1554,                 1.0252,                 1.3522,                0.80872,                0.75121,                 0.7924,                0.55615,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     74,                 1.1679,                 1.0119,                 1.3429,                 0.8294,                0.74575,                 0.7893,                0.56415,                    nan,                    nan,                    nan,             0.00097001,             0.00097001,             0.00097001
                     75,                 1.1566,                0.98919,                 1.3378,                0.82187,                0.75222,                0.79627,                0.56366,                    nan,                    nan,                    nan,             0.00096372,             0.00096372,             0.00096372
                     76,                 1.1642,                 1.0074,                 1.3519,                0.82087,                0.74462,                0.79304,                0.56303,                    nan,                    nan,                    nan,             0.00095743,             0.00095743,             0.00095743
                     77,                 1.1322,                0.99206,                 1.3312,                0.83234,                 0.7484,                0.78866,                0.56628,                    nan,                    nan,                    nan,             0.00095114,             0.00095114,             0.00095114
                     78,                 1.1663,                0.98356,                 1.3305,                0.82369,                0.75411,                0.78978,                0.56364,                    nan,                    nan,                    nan,             0.00094485,             0.00094485,             0.00094485
                     79,                 1.1415,                0.98056,                 1.3292,                0.83479,                0.75639,                0.79487,                0.57306,                    nan,                    nan,                    nan,             0.00093857,             0.00093857,             0.00093857
                     80,                 1.1528,                0.99581,                  1.339,                0.82783,                 0.7517,                0.78826,                0.56592,                    nan,                    nan,                    nan,             0.00093228,             0.00093228,             0.00093228
                     81,                 1.1377,                0.97517,                 1.3171,                0.83272,                 0.7499,                0.79122,                0.57118,                    nan,                    nan,                    nan,             0.00092599,             0.00092599,             0.00092599
                     82,                  1.134,                0.97321,                 1.3203,                0.83604,                0.74549,                0.79062,                0.57069,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     83,                 1.1342,                 0.9546,                 1.3105,                0.83929,                0.75411,                0.79971,                0.57704,                    nan,                    nan,                    nan,             0.00091342,             0.00091342,             0.00091342
                     84,                  1.128,                0.96628,                 1.3202,                0.83763,                0.75755,                0.80293,                0.57392,                    nan,                    nan,                    nan,             0.00090713,             0.00090713,             0.00090713
                     85,                 1.1365,                0.95359,                 1.3287,                0.82112,                0.74372,                0.78839,                0.56576,                    nan,                    nan,                    nan,             0.00090084,             0.00090084,             0.00090084
                     86,                 1.1426,                0.96211,                 1.3171,                0.84185,                0.75214,                0.79353,                0.57617,                    nan,                    nan,                    nan,             0.00089455,             0.00089455,             0.00089455
                     87,                 1.1261,                0.97511,                 1.3095,                0.83887,                0.74773,                0.79504,                0.56854,                    nan,                    nan,                    nan,             0.00088827,             0.00088827,             0.00088827
                     88,                 1.1204,                0.94593,                 1.3072,                0.83189,                0.75191,                 0.7992,                0.57486,                    nan,                    nan,                    nan,             0.00088198,             0.00088198,             0.00088198
                     89,                 1.1318,                 0.9546,                 1.3058,                0.84231,                0.76864,                0.79703,                0.57507,                    nan,                    nan,                    nan,             0.00087569,             0.00087569,             0.00087569
                     90,                 1.1233,                0.95069,                 1.3057,                0.84463,                0.75327,                0.79485,                0.57153,                    nan,                    nan,                    nan,              0.0008694,              0.0008694,              0.0008694
                     91,                 1.1117,                0.94619,                 1.3048,                0.84371,                0.75756,                0.80439,                0.57902,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     92,                 1.1119,                0.94942,                 1.3057,                0.85483,                0.75197,                 0.7956,                0.58195,                    nan,                    nan,                    nan,             0.00085683,             0.00085683,             0.00085683
                     93,                 1.1062,                0.93587,                 1.2889,                0.84912,                0.75958,                0.79441,                0.58175,                    nan,                    nan,                    nan,             0.00085054,             0.00085054,             0.00085054
                     94,                  1.103,                0.91326,                 1.2875,                0.84015,                0.75913,                0.79879,                0.58284,                    nan,                    nan,                    nan,             0.00084425,             0.00084425,             0.00084425
                     95,                 1.1018,                0.94106,                 1.3038,                0.84044,                0.75148,                0.80366,                0.58426,                    nan,                    nan,                    nan,             0.00083797,             0.00083797,             0.00083797
                     96,                 1.1059,                0.93233,                 1.2944,                0.84811,                0.75357,                0.80151,                 0.5866,                    nan,                    nan,                    nan,             0.00083168,             0.00083168,             0.00083168
                     97,                 1.0794,                0.93644,                 1.2829,                0.86539,                0.75215,                0.80787,                0.59655,                    nan,                    nan,                    nan,             0.00082539,             0.00082539,             0.00082539
                     98,                  1.103,                0.91568,                 1.2848,                0.85868,                0.74857,                0.80327,                 0.5922,                    nan,                    nan,                    nan,              0.0008191,              0.0008191,              0.0008191
                     99,                 1.0863,                0.91425,                 1.2775,                0.85307,                0.76324,                0.81192,                 0.5917,                    nan,                    nan,                    nan,             0.00081282,             0.00081282,             0.00081282
                    100,                 1.0823,                0.90615,                 1.2892,                0.83913,                0.75851,                 0.8059,                0.59075,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                    101,                  1.073,                0.90371,                 1.2791,                0.85279,                0.75545,                0.79815,                0.59098,                    nan,                    nan,                    nan,             0.00080024,             0.00080024,             0.00080024
                    102,                 1.0848,                0.90288,                 1.2772,                0.85125,                0.75924,                0.80391,                0.59219,                    nan,                    nan,                    nan,             0.00079395,             0.00079395,             0.00079395
                    103,                 1.0905,                 0.9129,                 1.2928,                0.84285,                0.76644,                0.80812,                0.59543,                    nan,                    nan,                    nan,             0.00078766,             0.00078766,             0.00078766
                    104,                 1.0765,                0.88788,                  1.271,                0.85318,                0.76981,                0.81141,                 0.5945,                    nan,                    nan,                    nan,             0.00078138,             0.00078138,             0.00078138
                    105,                 1.0615,                0.88593,                 1.2638,                  0.852,                0.76197,                0.80549,                0.59659,                    nan,                    nan,                    nan,             0.00077509,             0.00077509,             0.00077509
                    106,                 1.0743,                0.89698,                 1.2642,                0.86395,                0.76256,                0.81467,                0.60815,                    nan,                    nan,                    nan,              0.0007688,              0.0007688,              0.0007688
                    107,                 1.0776,                0.89529,                 1.2772,                0.84813,                0.76512,                0.80381,                0.59629,                    nan,                    nan,                    nan,             0.00076251,             0.00076251,             0.00076251
                    108,                 1.0682,                0.88679,                 1.2665,                0.85451,                0.75875,                0.80592,                 0.5941,                    nan,                    nan,                    nan,             0.00075623,             0.00075623,             0.00075623
                    109,                 1.0708,                0.89215,                   1.27,                0.85711,                0.75749,                 0.8065,                0.59636,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                    110,                 1.0571,                0.89596,                 1.2588,                0.86346,                0.76314,                0.81416,                0.60016,                    nan,                    nan,                    nan,             0.00074365,             0.00074365,             0.00074365
                    111,                 1.0558,                0.87988,                 1.2636,                 0.8535,                 0.7663,                0.80985,                0.60491,                    nan,                    nan,                    nan,             0.00073736,             0.00073736,             0.00073736
                    112,                 1.0674,                0.87068,                 1.2509,                0.86478,                0.75717,                0.80947,                0.60382,                    nan,                    nan,                    nan,             0.00073108,             0.00073108,             0.00073108
                    113,                 1.0463,                0.86696,                 1.2541,                0.86153,                0.75395,                 0.8081,                0.59498,                    nan,                    nan,                    nan,             0.00072479,             0.00072479,             0.00072479
                    114,                 1.0551,                0.86709,                 1.2575,                 0.8641,                0.76864,                0.81621,                0.61445,                    nan,                    nan,                    nan,              0.0007185,              0.0007185,              0.0007185
                    115,                 1.0569,                0.86152,                 1.2539,                0.85169,                0.76468,                0.81265,                0.60659,                    nan,                    nan,                    nan,             0.00071221,             0.00071221,             0.00071221
                    116,                 1.0585,                0.89353,                 1.2534,                0.86682,                0.75817,                 0.8062,                0.60458,                    nan,                    nan,                    nan,             0.00070593,             0.00070593,             0.00070593
