                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7699,                 4.1754,                 4.1001,                0.01493,                 0.0643,                0.00718,                0.00187,                    nan,                    nan,                    nan,              0.0033284,              0.0033284,              0.0033284
                      2,                  2.856,                 3.2556,                 3.2332,                0.18954,                0.16061,                0.09527,                0.03204,                    nan,                    nan,                    nan,              0.0066287,              0.0066287,              0.0066287
                      3,                 2.3108,                 2.5907,                 2.5997,                0.44363,                0.31994,                0.30513,                0.13069,                    nan,                    nan,                    nan,              0.0098961,              0.0098961,              0.0098961
                      4,                 2.0024,                 2.1908,                 2.2265,                0.70624,                0.45146,                0.52286,                0.26424,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8383,                 1.9304,                 2.0306,                0.72369,                0.50802,                0.57091,                   0.32,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      6,                 1.7379,                 1.7723,                 1.9198,                0.73096,                0.54862,                 0.6138,                0.35024,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6754,                 1.6704,                 1.8429,                 0.7605,                0.56677,                0.64396,                0.37918,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      8,                 1.6232,                 1.5973,                  1.792,                 0.7845,                  0.589,                0.67053,                 0.4021,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5865,                 1.5182,                 1.7537,                0.80105,                0.63466,                0.70303,                0.43344,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     10,                 1.5541,                 1.4829,                 1.7233,                0.79949,                0.64177,                0.70945,                0.43874,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5333,                 1.4414,                 1.7006,                0.80766,                0.64402,                0.70909,                0.44555,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     12,                 1.5111,                 1.4007,                 1.6752,                0.83249,                0.64823,                0.72593,                0.45688,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.488,                 1.3667,                 1.6561,                0.83803,                 0.6777,                0.74598,                0.47078,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     14,                 1.4641,                  1.337,                  1.636,                0.82963,                0.68255,                0.74202,                0.47336,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4495,                 1.3013,                 1.6171,                0.85187,                0.67423,                0.74858,                0.48257,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     16,                 1.4391,                  1.278,                 1.6031,                0.84028,                0.69128,                0.75641,                 0.4884,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     17,                  1.415,                 1.2534,                 1.5927,                0.85829,                0.69224,                0.76005,                0.48905,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     18,                 1.4103,                 1.2365,                 1.5815,                0.84193,                0.68871,                0.75413,                0.49214,                    nan,                    nan,                    nan,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4022,                 1.2242,                  1.574,                0.86149,                0.68754,                0.76183,                0.49943,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     20,                 1.4021,                 1.2121,                 1.5639,                0.84449,                0.69152,                 0.7621,                0.50465,                    nan,                    nan,                    nan,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3825,                 1.1918,                 1.5517,                0.85449,                0.69899,                0.76388,                0.50407,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     22,                 1.3679,                 1.1693,                 1.5418,                0.86493,                0.70054,                0.77086,                 0.5154,                    nan,                    nan,                    nan,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3666,                  1.168,                 1.5385,                0.84297,                0.71091,                0.77261,                0.51635,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     24,                 1.3614,                 1.1562,                 1.5373,                0.86702,                0.70782,                0.77174,                0.51812,                    nan,                    nan,                    nan,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3629,                 1.1592,                 1.5373,                0.86415,                0.72172,                0.78072,                 0.5227,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     26,                 1.3488,                 1.1361,                   1.53,                0.87348,                0.71119,                0.78378,                0.52974,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
